User,Project Count,Project Names
luotao1,37,"新IR Python API适配升级（第三期）, 【快乐开源】Paddle 算子规范化任务, 【开源任务】CINN编译器后端Pass改造, [PIR] Adaptation of `test_zero_dim_*.py` - step: 2, 【开源任务】CINN编译器后端Pass注释添加, 【快乐开源】将 PyLayer 机制迁移至 PIR 体系下, 【Docathon】为 Tensor API 文档增加图例, 【快乐开源】Paddle Tensor 规范化, [Typing][PEP585 Upgrade] PEP 585 标准集合泛型支持升级——Python 3.8 退场前瞻特别任务, 【开源任务】Paddle2ONNX适配Paddle IR完成常用模型转化, 【快乐开源】Paddle Tensor 规范化二期, 【快乐开源】为 PaddleScience 案例添加 export 和 inference 功能, [Cleanup] 框架历史遗留 API 清理计划（一期）, 【PIR】Sparse 算子 Python API 适配, [docs清理] 清理未暴露在 sphinx toctree 下的文档, 【PIR】PIR下的分布式算子注册, 为 Paddle 框架 API 添加类型提示（Type Hints）Tracking Issue, 【Hackathon 7th】Fundable Projects No.7, 【快乐开源】PIR test_errors 相关单测适配 , [CodeStyle][Typos][O-W] ✏️ Typos 工具引入计划, 🎁PaddleMIX 快乐开源活动表单, [CodeStyle][Typos][A-N] ✏️ Typos 工具引入计划, 【快乐开源】PIR模式下单测问题修复与适配, 【编译优化】paddle_test 推全, 【快乐开源】CINN编译器符号推导扩量, [Type Hints] 为公开 API 标注类型提示信息, 【Docathon】补充Overview文档相关API描述, 【开源任务】PIR-TensorRT converter推全升级, 【complex op】paddlepaddle 支持复数, 【飞桨科学计算工具组件开发大赛】25w奖金池💰, ✏️ Typo 清理计划, Hackathon 7th Fundable Projects No.1 修改算子列表, PaddleMIX 快乐开源活动 (2024 Q4), 【快乐开源】报错日志体系优化, Hackathon 7th Fundable Projects No.2 修改算子列表, [CodeStyle][Ruff] Ruff 新 rule 引入计划（第二期）, 【快乐开源】PIR SaveLoad 体系单测适配"
enkilee,15,"[CodeStyle][Typos][A-N] ✏️ Typos 工具引入计划, 【Hackathon 6th】开源贡献个人挑战赛, 【Hackathon 7th】开源贡献个人挑战赛, 【快乐开源】PIR模式下单测问题修复与适配, 【快乐开源】CINN编译器符号推导扩量, 【Hackathon 7th】Fundable Projects No.7, [Type Hints] 为公开 API 标注类型提示信息, 【开源任务】PIR-TensorRT converter推全升级, [Cleanup] 框架历史遗留 API 清理计划（一期）, 【快乐开源】PIR SaveLoad 体系单测适配, 【快乐开源】报错日志体系优化, 【PIR】PIR下的分布式算子注册, 【快乐开源】Paddle Tensor 规范化, [Typing][PEP585 Upgrade] PEP 585 标准集合泛型支持升级——Python 3.8 退场前瞻特别任务, 【快乐开源】PIR test_errors 相关单测适配 "
SigureMo,12,"新IR Python API适配升级（第三期）, [CodeStyle][Typos][A-N] ✏️ Typos 工具引入计划, [CodeStyle][Ruff] Ruff 新 rule 引入计划（第二期）, 【快乐开源】PIR模式下单测问题修复与适配, ✏️ Typo 清理计划, [Type Hints] 为公开 API 标注类型提示信息, [PIR] Adaptation of `test_zero_dim_*.py` - step: 2, [Cleanup] 框架历史遗留 API 清理计划（一期）, 飞桨 IR 快乐开源活动表单, 为 Paddle 框架 API 添加类型提示（Type Hints）Tracking Issue, [Typing][PEP585 Upgrade] PEP 585 标准集合泛型支持升级——Python 3.8 退场前瞻特别任务, [CodeStyle][Typos][O-W] ✏️ Typos 工具引入计划"
gouzil,9,"【Hackathon 7th Code Camp】护航计划, [CodeStyle][Ruff] Ruff 新 rule 引入计划（第二期）, [Type Hints] 为公开 API 标注类型提示信息, [PIR] Adaptation of `test_zero_dim_*.py` - step: 2, [Cleanup] 框架历史遗留 API 清理计划（一期）, 【Hackathon 6th Code Camp】护航计划, 飞桨 IR 快乐开源活动表单, [Typing][PEP585 Upgrade] PEP 585 标准集合泛型支持升级——Python 3.8 退场前瞻特别任务, 【快乐开源】PIR test_errors 相关单测适配 "
ooooo-create,9,"新IR Python API适配升级（第三期）, 【Hackathon 7th Code Camp】护航计划, [CodeStyle][Typos][A-N] ✏️ Typos 工具引入计划, 【快乐开源】CINN编译器符号推导扩量, [Type Hints] 为公开 API 标注类型提示信息, 【开源任务】PIR-TensorRT converter推全升级, [Cleanup] 框架历史遗留 API 清理计划（一期）, [docs清理] 清理未暴露在 sphinx toctree 下的文档, 【快乐开源】PIR test_errors 相关单测适配 "
PolaKuma,8,"【快乐开源】Paddle 算子规范化任务, PaddleMIX 快乐开源活动 (2024 Q4), 【快乐开源】Paddle Tensor 规范化二期, 【快乐开源】为 PaddleScience 案例添加 export 和 inference 功能, 【开源任务】PIR-TensorRT converter推全升级, 【开源任务】CINN编译器后端Pass注释添加, 【Docathon】为 Tensor API 文档增加图例, 【快乐开源】Paddle Tensor 规范化"
Liyulingyue,8,"【Hackathon 7th】Fundable Projects, 【编译优化】paddle_test 推全, [Type Hints] 为公开 API 标注类型提示信息, [Cleanup] 框架历史遗留 API 清理计划（一期）, 【Hackathon 6th】Fundable Projects, 【快乐开源】报错日志体系优化, 【Docathon】为 Tensor API 文档增加图例, 【Hackathon 7th】Fundable Projects No.7"
NKNaN,8,"【Hackathon 7th Code Camp】护航计划, 【Hackathon 6th】开源贡献个人挑战赛, 【Hackathon 7th】开源贡献个人挑战赛, [Type Hints] 为公开 API 标注类型提示信息, 【快乐开源】为 PaddleScience 案例添加 export 和 inference 功能, [Cleanup] 框架历史遗留 API 清理计划（一期）, 【Hackathon 6th Code Camp】护航计划, 【快乐开源】Paddle Tensor 规范化"
co63oc,7,"【Hackathon 7th】Fundable Projects, 🎁PaddleMIX 快乐开源活动表单, [Cleanup] 框架历史遗留 API 清理计划（一期）, 【飞桨科学计算工具组件开发大赛】25w奖金池💰, 【Hackathon 6th】Fundable Projects, Hackathon 7th Fundable Projects No.1 修改算子列表, Hackathon 7th Fundable Projects No.2 修改算子列表"
megemini,7,"【Hackathon 7th】Fundable Projects, 【Hackathon 6th】开源贡献个人挑战赛, [Type Hints] 为公开 API 标注类型提示信息, [Cleanup] 框架历史遗留 API 清理计划（一期）, 【Hackathon 6th】Fundable Projects, 为 Paddle 框架 API 添加类型提示（Type Hints）Tracking Issue, 【Hackathon 7th】Fundable Projects No.7"
